Kurtosis;Impulse factor;RMS;Margin factor;Skewness;Shape factor;Peak to peak;Crest factor;Label
2.58248222;9.591259605;1.770074278;0.008245325;0.134179009;657.1679318;0.047486698;0.014594838;1
2.702427566;9.304077953;1.971653307;0.007176762;0.072044769;657.5279857;0.054733741;0.014150087;1
2.630015179;8.58096679;2.146044339;0.006080592;0.035387605;657.5846734;0.055757421;0.01304922;1
2.5367285;8.768641538;2.320057218;0.005776474;0.003453188;654.2907644;0.060663948;0.01340175;1
3.699692586;11.75140587;2.401518871;0.00741756;0.083755414;659.6943124;0.083317997;0.017813411;1
2.632164414;9.855896839;2.421368187;0.006209299;-0.005123428;655.5302291;0.071011947;0.015035;1
7.187081191;12.90301137;5.245938666;0.003364187;0.012943537;731.1184667;0.184706579;0.017648318;3
7.795947696;17.34539857;6.10750402;0.003909211;0.101237833;726.4928884;0.259118976;0.023875524;3
5.876949804;13.59776027;6.727750237;0.002819297;0.045906116;716.8967944;0.230320087;0.018967528;3
6.019712331;12.86112188;7.676480171;0.002317646;-0.037061487;722.885618;0.268559714;0.017791365;3
8.108633849;16.95458686;8.561707406;0.002667147;-0.260379497;742.4717714;0.361389358;0.022835329;3
5.460738763;12.27835291;7.8795649;0.002191064;-0.023294349;711.1854757;0.255070162;0.017264628;3
8.161534079;15.18912586;8.064204334;0.00255411;0.033169411;737.4484807;0.324812399;0.020596864;3
6.048625885;12.44322815;6.518516668;0.002690613;0.024898005;709.4684923;0.225811157;0.017538803;3
7.632639794;19.12968971;5.601046159;0.004709502;-0.189503908;725.2100641;0.264256682;0.026378136;3
7.079289204;13.51695402;4.6053492;0.004059281;0.080961658;723.0480722;0.168044212;0.018694406;3
6.980030953;15.85223602;10.86564569;0.002053186;-0.188052754;710.5697563;0.436759546;0.02230919;3
5.567831511;14.76434274;9.982731431;0.002076945;-0.06494243;712.0980689;0.353610316;0.020733581;3
7.453980588;15.56365998;9.09936207;0.002332897;-0.25886978;733.1708049;0.364407682;0.021227877;3
5.835316824;13.13901803;7.905126494;0.002311711;-0.030406889;718.986289;0.287501727;0.018274365;3
6.446754154;13.91897543;6.93552391;0.002789577;-0.008663817;719.4317048;0.248264895;0.019347181;3
6.663649487;17.49991473;6.048035131;0.004054052;-0.085887354;713.7272645;0.25891881;0.02451905;3
6.185188942;13.52760013;5.247856557;0.003604036;-0.14207605;715.2365842;0.197649461;0.018913462;3
6.825815429;14.55692467;5.521170597;0.003667335;-0.145990976;718.9321024;0.21128076;0.020247983;3
6.544292401;13.06810369;6.199308432;0.002933064;-0.13392272;718.7002249;0.220462381;0.018182969;3
5.553896389;12.70265529;6.844496302;0.002636387;0.052760802;703.9532288;0.236311637;0.018044743;3
11.22889838;18.47270013;2.641721877;0.009818462;-0.056829722;712.1964904;0.130913951;0.025937646;2
7.057029553;17.06226302;2.43790007;0.010226423;0.163152693;684.3795024;0.105737655;0.024930997;2
9.217942597;19.26573174;2.270308666;0.012240375;0.198072734;693.2755334;0.111344992;0.02778943;2
12.3365079;20.5143559;2.040084734;0.01430058;-0.05068453;703.1630477;0.114048208;0.029174394;2
8.201684414;16.27391803;1.966047082;0.011820975;0.13538771;700.2367838;0.086562928;0.023240593;2
4.69493369;15.45911087;1.68997366;0.013656766;0.501759104;669.8178569;0.061054955;0.023079574;2
5.793968793;16.23942165;1.787555174;0.013275465;0.15892166;684.3233395;0.071368547;0.023730627;2
