Label;principal component 1;principal component 2
Healthy;-0.097516133;-0.015747022
Healthy;-0.097604713;-0.016657984
Healthy;-0.095866089;-0.016782203
Healthy;-0.087140081;-0.016664684
Healthy;-0.114559927;-0.01934552
Healthy;-0.111649638;-0.020044511
Healthy;-0.11844603;-0.021140704
Healthy;-0.120287805;-0.022033458
Fault;-0.156509982;-0.020595256
Fault;-0.131404565;-0.018688773
Fault;-0.073436639;-0.013802672
Fault;0.01000585;-0.008441662
Fault;0.044315029;-0.005999216
Fault;0.055896651;-0.004255874
Fault;0.005581099;-0.007509596
Fault;0.051981804;-0.005133416
Fault;0.042655797;-0.004280598
Fault;0.079110906;-0.002222251
Fault;-0.057481352;-0.015754793
Fault;0.03159204;-0.008596642
Fault;0.028106714;-0.007963922
Fault;0.174519755;0.004298489
Fault;0.079442329;-0.003503258
Fault;0.139947328;0.002915952
Fault;0.057026986;-0.003233437
Fault;0.089963624;-0.001653593
Fault;0.031916517;-0.006875537
Fault;0.156710021;0.000727284
Fault;0.048733278;-0.003726282
Fault;0.025010063;-0.005400841
Fault;0.066067484;-0.001964969
Fault;0.028230985;-0.006590001
Fault;0.074285343;-0.005711362
Fault;-0.024951147;-0.011231667
Fault;-0.067229143;-0.016082653
Fault;-0.034973339;-0.014101779
Fault;-0.114537086;-0.019827278
Fault;-0.085921783;-0.0191965
Fault;-0.083066688;-0.016430825
Fault;-0.096398216;-0.016023709
Fault;-0.018401821;-0.011311539
Fault;0.033844256;-0.006129656
Fault;-0.034255735;-0.010998637
Fault;0.040913097;-0.005483871
Fault;0.077813867;0.000346284
Fault;0.017386492;-0.006585891
Fault;0.046454341;-0.00321472
Fault;0.059988421;-0.000863899
Fault;-0.647555112;0.220809556
Fault;-0.64483628;0.210702698
Fault;-0.642239101;0.2008789
Fault;-0.638499211;0.191759736
Fault;-0.632884096;0.183196811
Fault;-0.625412843;0.17523786
Fault;-0.621043452;0.167151258
Fault;-0.610780907;0.160029869
Fault;-0.598307827;0.153763872
Fault;-0.581775352;0.148121711
Fault;-0.099867843;-0.013334413
Fault;-0.11196115;-0.014585331
Fault;-0.090877906;-0.01383118
Fault;-0.097745181;-0.015175022
Fault;-0.098779168;-0.015116524
Fault;-0.123089364;-0.017798611
Fault;-0.09416796;-0.015362191
Fault;-0.0977875;-0.014742096
Fault;-0.101452643;-0.014499284
Fault;-0.084514055;-0.012992153
Healthy;-0.093555819;-0.019518387
Healthy;-0.083655935;-0.01811234
Healthy;-0.087900559;-0.017727831
Healthy;-0.090709996;-0.017443718
Healthy;-0.103999883;-0.018852686
Healthy;-0.126543643;-0.01926156
Healthy;-0.091074149;-0.017059274
Healthy;-0.103335981;-0.017423427
Healthy;-0.114470875;-0.017678727
Healthy;-0.104244767;-0.017317544
Fault;0.122858363;0.004297081
Fault;0.12108351;0.007478337
Fault;0.076794958;0.008205856
Fault;0.106922255;0.012653082
Fault;0.112173204;0.016537432
Fault;0.142140144;0.019253345
Fault;0.162059714;0.024122165
Fault;0.139745374;0.028260294
Fault;0.128950054;0.029501576
Fault;0.116962935;0.03036114
Fault;-0.079688942;-0.016324161
Fault;-0.101142626;-0.016506063
Fault;-0.092618826;-0.014510159
Fault;0.125366734;0.017230089
Fault;-0.09725131;-0.014076431
Fault;-0.088043626;-0.012688969
Fault;-0.107651102;-0.013978165
Fault;-0.090950614;-0.013535703
Fault;-0.102492082;-0.014300411
Fault;-0.089600257;-0.014329995
Fault;0.201117603;0.011176925
Fault;0.148106106;0.011357645
Fault;0.150120618;0.015055074
Fault;0.12264697;0.014689343
Fault;0.154920575;0.020877222
Fault;0.203738805;0.027607853
Fault;0.180385651;0.029482951
Fault;0.218975342;0.02709651
Fault;0.153592506;0.018956243
